sku	price	quantity	handling-time	merchant_shipping_group_name
SHEST1	19.092423529411775	4	4	2-4 15$
SHEST2	23.486117647058826		4	3-5 15$
SHEST3	22.197741176470593	95	4	3-5 15$
SHEST4	18.94376470588236	95	4	3-5 15$
SHEST5	22.098635294117656	3	4	3-5 15$
SHEST6	18.86117647058824	95	4	3-5 15$
SHEST7	18.828141176470595	95	4	3-5 15$
SHEST8	20.23214117647059	95	4	3-5 15$
SHEST9	18.778588235294123	95	4	3-5 15$
SHEST10	20.430352941176473	95	4	3-5 15$
SHEST11	18.67948235294118	2	4	3-5 15$
SHEST12	18.464752941176478	3	4	3-5 15$
SHEST13	18.613411764705887	95	4	3-5 15$
SHEST14	20.876329411764708	3	4	3-5 15$
SHEST15	18.514305882352943	3	4	3-5 15$
SHEST16	18.481270588235297	1	4	3-5 15$
SHEST17	18.349129411764714	95	4	3-5 15$
SHEST18	20.133035294117654	95	4	3-5 15$
SHEST19	18.216988235294124	95	4	3-5 15$
SHEST20	18.18395294117648		4	3-5 15$
SHEST21	18.18395294117648	95	4	3-5 15$
SHEST22	18.1344	95	4	3-5 15$
SHEST23	17.704941176470598	4	4	3-5 15$
SHEST24	18.05181176470589	95	4	3-5 15$
SHEST25	18.035294117647062	95	4	3-5 15$
SHEST26	17.853600000000007	95	4	3-5 15$
SHEST27	18.018776470588236	95	4	3-5 15$
SHEST28	18.002258823529417	95	4	3-5 15$
SHEST29	17.98574117647059	95	4	3-5 15$
SHEST30	17.98574117647059	95	4	3-5 15$
SHEST31	19.819200000000002	95	4	3-5 15$
SHEST32	17.936188235294125	95	4	3-5 15$
SHEST33	17.90315294117648	2	4	3-5 15$
SHEST34	17.671905882352945	4	4	3-5 15$
SHEST35	17.77101176470589	95	4	2-4 15$
SHEST36	17.704941176470598	95	4	3-5 15$
SHEST37	0	0	4	3-5
SHEST38	16.350494117647063	95	4	3-5 15$
SHEST39	18.762070588235304	95	4	2-4 15$
SHEST40	17.622352941176473	95	4	3-5 15$
SHEST41	18.696000000000005	95	4	3-5 15$
SHEST42	17.308517647058828	95	4	3-5 15$
SHEST43	17.275482352941182	95	4	3-5 15$
SHEST44	17.258964705882356	1	4	3-5 15$
SHEST45	16.565223529411767	4	4	3-5 15$
SHEST46	17.242447058823537	4	4	3-5 15$
SHEST47	19.703576470588246	95	4	3-5 15$
SHEST48	17.20941176470589	95	4	3-5 15$
SHEST49	17.275482352941182	95	4	3-5 15$
SHEST50	17.110305882352947	95	4	2-4 15$
SHEST51	16.961647058823537	95	4	2-4 15$
SHEST52	16.945129411764707	95	4	3-5 15$
SHEST53	18.200470588235298	95	4	3-5 15$
SHEST54	15.921035294117651	95	4	3-5 15$
SHEST55	0	0	4	3-5
SHEST56	16.945129411764707	95	4	2-4 15$
SHEST57	16.89557647058824	95	4	3-5 15$
SHEST58	16.829505882352947	95	4	3-5 15$
SHEST59	17.6388705882353	95	4	3-5 15$
SHEST60	16.7964705882353	95	4	3-5 15$
SHEST61	16.565223529411767	2	4	3-5 15$
SHEST62	16.69736470588236	95	4	3-5 15$
SHEST63	16.69736470588236	2	4	3-5 15$
SHEST64	19.274117647058823	2	4	3-5 15$
SHEST65	16.614776470588243	1	4	3-5 15$
SHEST66	0	0	4	3-5
SHEST67	16.499152941176476	95	4	3-5 15$
SHEST68	16.43308235294118	95	4	2-4 15$
SHEST69	16.482635294117653	95	4	3-5 15$
SHEST70	16.482635294117653	3	4	3-5 15$
SHEST71	0	0	4	3-5
SHEST72	16.66432941176471	95	4	3-5 15$
SHEST73	16.548705882352948	95	4	3-5 15$
SHEST74	16.33397647058824	95	4	3-5 15$
SHEST75	16.598258823529413	95	4	3-5 15$
SHEST76	16.284423529411768	95	4	3-5 15$
SHEST77	17.060752941176474	95	4	3-5 15$
SHEST78	16.77995294117647	95	4	3-5 15$
SHEST79	16.152282352941178	95	4	3-5 15$
SHEST80	16.135764705882362	95	4	2-4 15$
SHEST81	16.020141176470595	95	4	3-5 15$
SHEST82	0	0	4	3-5
SHEST83	15.921035294117651	95	4	3-5 15$
SHEST84	15.904517647058828	95	4	3-5 15$
SHEST85	15.98710588235295	4	4	2-4 15$
SHEST86	15.821929411764714	3	4	3-5 15$
SHEST87	16.284423529411768	95	4	3-5 15$
SHEST88	15.706305882352947	95	4	3-5 15$
SHEST89	15.788894117647065	95	4	3-5 15$
SHEST90	15.161223529411775	1	4	3-5 15$
SHEST91	16.251388235294122	95	4	3-5 15$
SHEST92	15.689788235294117	95	4	3-5 15$
SHEST93	14.731764705882359	95	4	3-5 15$
SHEST94	18.844658823529414	95	4	3-5 15$
SHEST95	17.55628235294118	2	4	3-5 15$
SHEST96	15.30988235294118	95	4	3-5 15$
SHEST97	0	0	4	3-5
SHEST98	14.69872941176471	95	4	3-5 15$
SHEST99	13.01392941176471	95	4	3-5 15$
SHEST100	14.863905882352942	95	4	3-5 15$
SHEST101	14.649176470588237	4	4	3-5 15$
SHEST102	14.92997647058824	95	4	3-5 15$
SHEST103	15.59068235294118	95	4	3-5 15$
SHEST104	16.201835294117654	3	4	3-5 15$
SHEST105	14.715247058823529	95	4	3-5 15$
SHEST106	14.500517647058828	1	4	3-5 15$
SHEST107	14.467482352941182	95	4	3-5 15$
SHEST108	14.384894117647061	95	4	2-4 15$
SHEST109	15.557647058823534	95	4	3-5 15$
SHEST110	14.335341176470592	95	4	3-5 15$
SHEST111	17.192894117647057	95	4	3-5 15$
SHEST112	16.879058823529416	95	4	3-5 15$
SHEST113	14.236235294117648	95	4	2-4 15$
SHEST114	14.203200000000002	1	4	3-5 15$
SHEST115	17.176376470588245	95	4	3-5 15$
SHEST116	15.30988235294118	95	4	3-5 15$
SHEST117	13.955435294117652	4	4	2-4 15$
SHEST118	14.236235294117648	95	4	3-5 15$
SHEST119	13.856329411764708	95	4	3-5 15$
SHEST120	13.839811764705889	95	4	2-4 15$
SHEST121	13.806776470588243	95	4	3-5 15$
SHEST122	13.773741176470597	95	4	2-4 15$
SHEST123	13.608564705882355	95	4	3-5 15$
SHEST124	14.467482352941182	95	4	3-5 15$
SHEST125	13.559011764705886	95	4	3-5 15$
SHEST126	13.476423529411765	95	4	2-4 15$
SHEST127	0	0	4	3-5
SHEST128	13.476423529411765	95	4	3-5 15$
SHEST129	0	0	4	3-5
SHEST130	0	0	4	3-5
SHEST131	0	0	4	3-5
SHEST132	13.26169411764706	95	4	3-5 15$
SHEST133	0	0	4	3-5
SHEST134	13.113035294117651	4	4	3-5 15$
SHEST135	12.287152941176473	95	4	3-5 15$
SHEST136	13.195623529411769	95	4	3-5 15$
SHEST137	12.716611764705888	95	4	3-5 15$
SHEST138	12.353223529411764	95	4	3-5 15$
SHEST139	12.700094117647058		4	3-5 15$
SHEST140	14.896941176470595	4	4	3-5 15$
SHEST141	15.359435294117649	95	4	3-5 15$
SHEST142	12.65054117647059		4	3-5 15$
SHEST143	12.419294117647066	95	4	3-5 15$
SHEST144	12.485364705882361	3	4	3-5 15$
SHEST145	0	0	4	3-5
SHEST146	12.733129411764708	95	4	3-5 15$
SHEST147	12.254117647058827	95	4	3-5 15$
SHEST148	0	0	4	3-5
SHEST149	12.155011764705886	95	4	3-5 15$
SHEST150	12.039388235294119	95	4	3-5 15$
SHEST151	12.766164705882353	95	4	3-5 15$
SHEST152	12.022870588235296	95	4	3-5 15$
SHEST153	11.98983529411765	95	4	2-4 15$
SHEST154	15.276847058823531	95	4	3-5 15$
SHEST155	11.775105882352946	95	4	3-5 15$
SHEST156	12.766164705882353	95	4	3-5 15$
SHEST157	11.758588235294116	95	4	3-5 15$
SHEST158	11.428235294117652	95	4	3-5 15$
SHEST159	11.560376470588235	4	4	2-4 15$
SHEST160	11.543858823529419	95	4	3-5 15$
SHEST161	12.518400000000007	95	4	3-5 15$
SHEST163	11.114400000000007	3	4	3-5 15$
SHEST164	11.576894117647065	95	4	3-5 15$
SHEST165	11.064847058823531	95	4	3-5 15$
SHEST166	11.279576470588239	95	4	3-5 15$
SHEST167	11.048329411764708	95	4	3-5 15$
SHEST168	10.883152941176473	95	4	3-5 15$
SHEST169	10.701458823529414	95	4	2-4 15$
SHEST170	11.163952941176476	95	4	3-5 15$
SHEST171	10.717976470588237	3	4	2-4 15$
SHEST172	0		4	1-3
SHEST173	11.329129411764708	95	4	3-5 15$
SHEST174	10.701458823529414	95	4	3-5 15$
SHEST175	10.453694117647064	95	4	3-5 15$
SHEST176	10.651905882352946	95	4	2-4 15$
